Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
109	3	9	186.513659733415	428.563052773885	0	255	1.791	1.782	NA	0.238	NA	2.277	-0.877
110	3	10	186.113208954163	431.376354773894	0	248	2.004	1.994	NA	0.212	NA	6.3	4.023
111	3	11	187.911862251379	431.097531470016	0	255	2.207	2.198	NA	0.204	NA	1.232	-5.068
112	3	12	187.188525205828	429.16145404318	0	242	2.439	2.43	NA	0.232	NA	5.24	4.008
113	3	13	189.569628907606	431.820344412193	0	255	2.684	2.673	NA	0.245	NA	-3.384	-8.624
114	3	14	189.560551571682	429.079174712904	0	247	2.944	2.932	NA	0.26	NA	7.337	10.721
115	3	15	186.706369529568	429.976756019093	0	245	3.1	3.086	NA	0.155	NA	10.504	3.168
116	3	16	190.545351125553	430.99625167843	0	255	3.349	3.334	NA	0.249	NA	-3.525	-14.029
117	3	17	188.324034547843	429.873489613317	0	252	3.581	3.565	NA	0.232	NA	-3.298	0.227
118	3	18	190.062149180509	428.492783489652	0	240	3.834	3.817	NA	0.253	NA	7.164	10.462
119	3	19	188.362413463742	428.737162325814	0	255	4.049	4.031	NA	0.215	NA	-3.455	-10.619
120	3	20	188.031805726029	430.858988267563	0	255	4.25	4.228	NA	0.2	NA	13.288	16.743
121	3	21	188.843613260627	432.41577046328	0	255	4.49	4.466	NA	0.24	NA	-5.844	-19.132
122	3	22	191.069628459498	429.577950623028	0	255	4.753	4.728	NA	0.263	NA	6.699	12.543
123	3	23	191.197209521443	428.635252808139	0	250	4.969	4.943	NA	0.216	NA	-2.668	-9.367
124	3	24	190.330072312996	428.846443948805	0	255	5.15	5.124	NA	0.181	NA	2.696	5.364
125	3	25	190.949260859303	429.498764859058	0	255	5.388	5.362	NA	0.238	NA	3.899	1.203
126	3	26	191.6456559278	428.532620889537	0	255	5.67	5.639	NA	0.282	NA	-9.127	-13.026
127	3	27	190.799143839829	432.385880388848	0	254	5.874	5.841	NA	0.205	NA	11.058	20.185
128	3	28	192.886489319466	429.612084542006	0	255	6.076	6.042	NA	0.202	NA	4.883	-6.175
129	3	29	190.064164287999	432.13167331811	0	255	6.26	6.226	NA	0.184	NA	4.741	-0.143
130	3	30	191.936046158351	432.227970119461	0	254	6.552	6.517	NA	0.291	NA	4.333	-0.407
131	3	31	192.277557489246	430.637426811174	0	252	6.801	6.766	NA	0.249	NA	4	-0.333
132	3	32	190.467673375845	432.476195116855	0	255	6.98	6.941	NA	0.179	NA	-9.854	-13.855
133	3	33	191.613012618229	430.784323624611	0	255	7.189	7.151	NA	0.209	NA	1.505	11.36
134	3	34	194.338459790409	430.440378616683	0	244	7.418	7.379	NA	0.229	NA	4.638	3.133
135	3	35	193.519322954014	430.846628037944	0	250	7.685	7.645	NA	0.267	NA	-2.054	-6.692
136	3	36	191.675623987958	430.172757801287	0	240	7.905	7.865	NA	0.221	NA	5.975	8.029
137	3	37	194.907224567853	431.610327112883	0	252	8.109	8.069	NA	0.204	NA	-2.615	-8.59
138	3	38	195.5956403175	430.541542645939	0	253	8.338	8.298	NA	0.229	NA	-0.002	2.612
139	3	39	192.535933544762	430.103843919352	0	255	8.578	8.537	NA	0.24	NA	5.395	5.397
140	3	40	194.865022080913	431.564442790911	0	247	8.84	8.799	NA	0.262	NA	4.476	-0.919
141	3	41	193.214275328487	429.771823626205	0	238	9.027	8.986	NA	0.187	NA	-0.866	-5.342
142	3	42	195.769774428427	430.418247033387	0	255	9.228	9.186	NA	0.201	NA	6.007	6.873
143	3	43	195.210443829268	429.391668419071	0	238	9.489	9.447	NA	0.26	NA	3.658	-2.349
144	3	44	194.8579459951	431.719924696155	0	244	9.731	9.687	NA	0.242	NA	-4.977	-8.636
145	3	45	194.014519075878	431.293979749136	0	255	9.964	9.919	NA	0.233	NA	8.913	13.89
146	3	46	195.244096029147	429.149218651801	0	255	10.139	10.093	NA	0.175	NA	6.634	-2.279
147	3	47	195.494748932675	430.38161363551	0	247	10.391	10.343	NA	0.252	NA	-4.791	-11.425
148	3	48	194.231952721663	432.541042515025	0	253	10.618	10.57	NA	0.227	NA	3.239	8.03
149	3	49	197.304595975183	431.095706041075	0	251	10.883	10.833	NA	0.265	NA	-3.948	-7.186
150	3	50	198.489662299864	430.362352223843	0	255	11.059	11.01	NA	0.176	NA	0.718	4.665
