Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
136	3	36	191.864788047194	432.189888649307	0	240	7.905	7.865	NA	0.221	NA	5.975	8.029
137	3	37	194.972292119883	432.228498438768	0	252	8.109	8.069	NA	0.204	NA	-2.615	-8.59
138	3	38	195.781834254935	429.993524650507	0	253	8.338	8.298	NA	0.229	NA	-0.002	2.612
139	3	39	194.857910424374	431.013222472161	0	255	8.578	8.537	NA	0.24	NA	5.395	5.397
140	3	40	195.542556469291	429.998938372225	0	247	8.84	8.799	NA	0.262	NA	4.476	-0.919
141	3	41	192.537172568075	428.943258580014	0	238	9.027	8.986	NA	0.187	NA	-0.866	-5.342
142	3	42	195.98389514149	431.06188808243	0	255	9.228	9.186	NA	0.201	NA	6.007	6.873
143	3	43	193.938652776264	431.91789965862	0	238	9.489	9.447	NA	0.26	NA	3.658	-2.349
144	3	44	195.749783563122	429.442903654084	0	244	9.731	9.687	NA	0.242	NA	-4.977	-8.636
145	3	45	196.693185413271	429.966385298461	0	255	9.964	9.919	NA	0.233	NA	8.913	13.89
146	3	46	196.545096897118	430.186654764563	0	255	10.139	10.093	NA	0.175	NA	6.634	-2.279
147	3	47	197.109440883987	431.231731659785	0	247	10.391	10.343	NA	0.252	NA	-4.791	-11.425
148	3	48	195.157822017968	430.356528509356	0	253	10.618	10.57	NA	0.227	NA	3.239	8.03
149	3	49	198.187937092014	430.761161138408	0	251	10.883	10.833	NA	0.265	NA	-3.948	-7.186
150	3	50	195.940140608698	429.537477180138	0	255	11.059	11.01	NA	0.176	NA	0.718	4.665
